player_id,player_name,firstname,lastname,number,position,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,rating,team_id,team_name,league,season,captain,shots.total,shots.on,goals.total,goals.conceded,goals.assists,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,fouls.drawn,fouls.committed,cards.yellow,cards.yellowred,cards.red,penalty.won,penalty.commited,penalty.success,penalty.missed,penalty.saved,games.appearences,games.minutes_played,games.lineups,substitutes.in,substitutes.out,substitutes.bench
2119,Evangelos Patoulidis,Evangelos,Patoulidis,,Midfielder,18,24/09/2001,,Belgium,Belgium,,,,,733,Standard Liege,First Division A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2101,Réginal Goreux,Réginal,Goreux,,Midfielder,32,31/12/1987,Saint-Michel,Haiti,Haiti,175 cm,74 kg,,,733,Standard Liege,First Division A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,178,2,3,1,20
2097,Jean-François Gillet,Jean-François,Gillet,,Goalkeeper,41,31/05/1979,Liège,Belgium,Belgium,180 cm,85 kg,,,733,Standard Liege,First Division A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
2096,Arnaud Bodart,Arnaud,Bodart,,Goalkeeper,22,11/03/1998,,Belgium,Belgium,184 cm,75 kg,,,733,Standard Liege,First Division A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2096,Arnaud Bodart,Arnaud,Bodart,,Goalkeeper,22,11/03/1998,,Belgium,Belgium,184 cm,75 kg,,,733,Standard Liege,First Division A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2107,Zinho Vanheusden,Zinho,Vanheusden,,Defender,21,29/07/1999,Hasselt,Belgium,Belgium,187 cm,80 kg,,,733,Standard Liege,First Division A,2018-2019,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,26,1981,22,4,0,13
2104,Senna Miangue,Senna,Miangue,,Defender,23,05/02/1997,Antwerpen,Belgium,Belgium,192 cm,81 kg,,,733,Standard Liege,First Division A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,439,4,2,1,11
2099,Luis Pedro Cavanda,Luis Pedro,Cavanda,,Defender,30,02/01/1990,Luanda,Angola,Belgium,180 cm,76 kg,,,733,Standard Liege,First Division A,2018-2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20,1652,17,3,0,14
2106,Hady Sangare,Hady,Sangare,,Defender,22,15/11/1998,,Mali,Mali,,,,,733,Standard Liege,First Division A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2112,Mehdi Carcela,Mehdi,Carcela-González,,Midfielder,31,01/07/1989,Liège,Belgium,Morocco,175 cm,72 kg,,,733,Standard Liege,First Division A,2018-2019,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,37,2813,30,7,8,7
2120,Nicolas Raskin,Nicolas,Raskin,,Midfielder,19,23/02/2001,Liège,Belgium,Belgium,179 cm,73 kg,,,733,Standard Liege,First Division A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2109,Samuel Bastien,Samuel,Bastien,,Midfielder,24,26/09/1996,Meux,Belgium,Belgium,172 cm,63 kg,,,733,Standard Liege,First Division A,2018-2019,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23,1094,14,9,10,21
