player_id,player_name,firstname,lastname,number,position,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,rating,team_id,team_name,league,season,captain,shots.total,shots.on,goals.total,goals.conceded,goals.assists,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,fouls.drawn,fouls.committed,cards.yellow,cards.yellowred,cards.red,penalty.won,penalty.commited,penalty.success,penalty.missed,penalty.saved,games.appearences,games.minutes_played,games.lineups,substitutes.in,substitutes.out,substitutes.bench
90490,Michael Carrick,Michael,Carrick,,Midfielder,37,28/07/1981,Wallsend,England,England,188 cm,74 kg,,,33,Manchester United,Premier League,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,Marcos Rojo,Faustino Marcos Alberto,Rojo,,Defender,30,20/03/1990,La Plata,Argentina,Argentina,187 cm,85 kg,,6.48,33,Manchester United,Premier League,2018-2019,0,6,4,0,0,0,90,0,58,5,2,6,19,10,1,1,1,3,2,0,0,0,0,0,0,0,5,211,2,3,2,9
898,Ander Herrera,Ander,Herrera Agüera,,Midfielder,31,14/08/1989,Bilbao,Spain,Spain,182 cm,71 kg,,6.972727,33,Manchester United,Premier League,2018-2019,0,21,8,2,0,3,860,15,86,54,6,37,180,91,17,12,20,21,4,0,0,0,1,0,0,0,22,1404,16,6,7,9
893,Antonio Valencia,Luis Antonio,Valencia Mosquera,,Defender,35,04/08/1985,Lago Agrio,Ecuador,Ecuador,180 cm,83 kg,,6.983333,33,Manchester United,Premier League,2018-2019,5,2,0,0,0,0,228,7,85,6,0,5,32,18,6,3,4,7,2,0,0,0,0,0,0,0,6,466,5,1,1,4
12753,Marouane Fellaini,Marouane,Fellaini-Bakkioui,,Midfielder,33,22/11/1987,Etterbeek,Belgium,Belgium,194 cm,85 kg,,6.715384,33,Manchester United,Premier League,2018-2019,0,7,3,0,0,1,345,3,72,21,5,4,135,79,4,1,9,15,1,0,0,1,0,0,0,0,14,744,6,8,0,11
883,Lee Grant,Lee,Grant,,Goalkeeper,37,27/01/1983,Hemel Hempstead,England,England,193 cm,83 kg,,,33,Manchester United,Premier League,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
884,Sergio Romero,Sergio Germán,Romero,,Goalkeeper,33,22/02/1987,Bernardo de Irigoyen,Argentina,Argentina,192 cm,87 kg,,,33,Manchester United,Premier League,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
885,Eric Bailly,Eric Bertrand,Bailly,,Defender,26,12/04/1994,Bingerville,Côte d'Ivoire,Côte d'Ivoire,187 cm,77 kg,,6.71,33,Manchester United,Premier League,2018-2019,0,3,1,0,0,0,263,0,65,15,4,13,50,37,5,4,5,5,0,0,1,0,1,0,0,0,12,637,8,4,2,13
888,Phil Jones,Phil,Jones,,Defender,28,21/02/1992,Preston,England,England,180 cm,71 kg,,7.023529,33,Manchester United,Premier League,2018-2019,0,5,2,0,0,1,698,3,87,19,11,23,111,78,3,3,10,8,1,0,0,0,0,0,0,0,18,1263,15,3,3,7
886,Diogo Dalot,José Diogo,Dalot Teixeira,,Defender,21,18/03/1999,Braga,Portugal,Portugal,183 cm,76 kg,,6.825,33,Manchester United,Premier League,2018-2019,0,15,0,0,0,2,300,17,67,24,2,10,89,59,16,11,2,12,3,0,0,0,1,0,0,0,16,1015,12,4,6,10
