player_id,player_name,firstname,lastname,number,position,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,rating,team_id,team_name,league,season,captain,shots.total,shots.on,goals.total,goals.conceded,goals.assists,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,fouls.drawn,fouls.committed,cards.yellow,cards.yellowred,cards.red,penalty.won,penalty.commited,penalty.success,penalty.missed,penalty.saved,games.appearences,games.minutes_played,games.lineups,substitutes.in,substitutes.out,substitutes.bench
8563,Lassana Diarra,Lassana,Diarra,,Midfielder,34,10/03/1985,Paris,France,France,173 cm,73 kg,,6.466666,85,Paris Saint Germain,Ligue 1,2018-2019,0,0,0,0,0,0,131,1,89,1,0,2,26,10,5,4,3,6,0,0,0,0,0,0,0,0,3,160,2,1,2,7
85062,Thiago Motta,Thiago,Motta,,Midfielder,36,28/08/1982,São Bernardo do Campo,Brazil,Italy,187 cm,83 kg,,,85,Paris Saint Germain,Ligue 1,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,Isaac Hemans Arday,Isaac,Hemans Arday,,Midfielder,24,26/12/1996,,France,France,,,,,85,Paris Saint Germain,Ligue 1,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90594,Eric Junior Ebimbe,Eric Junior,Dina Ebimbe,,Midfielder,20,21/11/2000,,France,France,,,,,85,Paris Saint Germain,Ligue 1,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
261,Thilo Kehrer,Thilo,Kehrer,,Defender,24,21/09/1996,Tübingen,Germany,Germany,186 cm,76 kg,,7.012,85,Paris Saint Germain,Ligue 1,2018-2019,0,13,3,1,0,1,1223,5,91,42,17,32,221,134,4,4,16,26,4,0,0,0,3,0,0,0,27,1896,19,8,2,12
264,Thomas Meunier,Thomas,Meunier,,Defender,29,12/09/1991,Sainte-Ode,Belgium,Belgium,190 cm,82 kg,,7.07619,85,Paris Saint Germain,Ligue 1,2018-2019,0,18,7,3,0,3,686,20,85,30,2,17,158,86,16,8,4,23,2,0,0,1,0,0,0,0,22,1615,19,3,8,6
263,Layvin Kurzawa,Layvin,Kurzawa,,Defender,28,04/09/1992,Fréjus,France,France,182 cm,74 kg,,6.641176,85,Paris Saint Germain,Ligue 1,2018-2019,0,6,2,1,0,2,381,12,84,9,2,9,120,55,21,11,5,26,4,0,0,0,0,0,0,0,19,1010,11,8,8,11
260,Colin Dagba,Colin,Dagba,,Defender,22,09/09/1998,Béthune,France,France,170 cm,62 kg,,6.6625,85,Paris Saint Germain,Ligue 1,2018-2019,0,3,2,0,0,2,512,14,90,12,0,9,88,42,16,10,6,16,2,0,0,0,0,0,0,0,17,912,9,8,2,12
279,Loïc Mbe Soh,Loïc,Mbe Soh,,Defender,19,13/06/2001,,France,France,186 cm,,,6.9,85,Paris Saint Germain,Ligue 1,2018-2019,0,1,0,0,0,0,116,0,91,1,2,1,18,9,1,1,0,1,0,0,0,0,0,0,0,0,2,180,2,0,0,3
273,Marco Verratti,Marco,Verratti,,Midfielder,28,05/11/1992,Pescara,Italy,Italy,165 cm,60 kg,,7.184,85,Paris Saint Germain,Ligue 1,2018-2019,0,3,0,0,0,2,1803,31,90,40,1,17,284,160,39,31,56,33,7,0,0,0,0,0,0,0,26,1887,23,3,11,5
266,Ángel Fabián Di María,Ángel Fabián,Di María Hernández,,Midfielder,32,14/02/1988,Rosario,Argentina,Argentina,180 cm,75 kg,,7.427586,85,Paris Saint Germain,Ligue 1,2018-2019,0,95,32,12,0,10,973,56,77,16,1,15,195,74,74,32,15,11,2,0,0,1,0,0,0,0,30,2339,28,2,16,3
267,Julian Draxler,Julian,Draxler,,Midfielder,27,20/09/1993,Gladbeck,Germany,Germany,185 cm,72 kg,,7.038709,85,Paris Saint Germain,Ligue 1,2018-2019,0,31,17,3,0,7,1377,43,90,21,1,15,238,116,59,44,14,25,6,0,0,0,0,0,0,0,31,2044,22,9,7,10
276,Neymar,Neymar,da Silva Santos Júnior,,Attacker,28,05/02/1992,Mogi das Cruzes,Brazil,Brazil,175 cm,68 kg,,8.164705,85,Paris Saint Germain,Ligue 1,2018-2019,0,55,27,15,0,7,797,46,80,8,0,5,304,153,123,74,58,12,2,0,0,2,0,5,0,0,17,1443,16,1,5,1
90593,Météhan Güçlü,Météhan,Güçlü,,Attacker,21,02/04/1999,Montfermeil,France,Turkey,182 cm,,,7.3,85,Paris Saint Germain,Ligue 1,2018-2019,0,2,2,1,0,0,3,1,100,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16,0,1,0,1
1138,Timothy Weah,Timothy,Weah,,Attacker,20,22/02/2000,,USA,USA,185 cm,66 kg,,7.05,85,Paris Saint Germain,Ligue 1,2018-2019,0,2,2,1,0,0,4,1,75,0,0,0,4,1,0,0,0,2,1,0,0,0,0,0,0,0,2,54,1,1,1,1
270,Stanley N&apos;Soki,Stanley,N'Soki,,Defender,21,09/04/1999,Poissy,France,France,178 cm,,,6.790909,85,Paris Saint Germain,Ligue 1,2018-2019,0,0,0,0,0,0,399,3,79,14,1,18,83,52,18,13,3,9,2,0,0,0,0,0,0,0,12,697,8,4,3,19
265,Arthur Zagre,Arthur,Zagre,,Defender,19,04/10/2001,,France,France,,,,,85,Paris Saint Germain,Ligue 1,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90591,Azzeddine Toufiqui,Azzeddine,Toufiqui,,Midfielder,21,25/04/1999,Caen,France,France,175 cm,,,,85,Paris Saint Germain,Ligue 1,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
255,Sébastien Cibois,Sébastien,Cibois,,Goalkeeper,22,02/03/1998,Argenteuil,France,France,178 cm,,,,85,Paris Saint Germain,Ligue 1,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
275,Jean-Eric Maxim Choupo-Moting,Jean-Eric Maxim,Choupo-Moting,,Attacker,31,23/03/1989,Hamburg,Germany,Cameroon,191 cm,82 kg,,6.66,85,Paris Saint Germain,Ligue 1,2018-2019,0,25,7,3,0,0,180,5,76,4,0,3,117,46,29,20,6,16,0,0,0,0,0,0,0,0,22,792,8,14,4,23
269,Christopher Nkunku,Christopher,Nkunku,,Midfielder,23,14/11/1997,Lagny-sur-Marne,France,France,178 cm,68 kg,,7.005263,85,Paris Saint Germain,Ligue 1,2018-2019,0,23,6,3,0,2,560,17,90,15,2,8,165,86,38,23,30,21,0,0,0,0,0,0,0,0,22,1153,13,9,6,23
277,Moussa Diaby,Moussa,Diaby,,Attacker,21,07/07/1999,Paris,France,France,170 cm,65 kg,,6.820833,85,Paris Saint Germain,Ligue 1,2018-2019,0,23,7,2,0,6,428,20,81,8,1,12,115,42,36,20,6,15,1,0,0,0,0,0,0,0,25,1129,10,15,4,26
1800,Kevin Trapp,Kevin,Trapp,,Goalkeeper,30,08/07/1990,Merzig,Germany,Germany,189 cm,88 kg,,,85,Paris Saint Germain,Ligue 1,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
