player_id,player_name,firstname,lastname,number,position,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,rating,team_id,team_name,league,season,captain,shots.total,shots.on,goals.total,goals.conceded,goals.assists,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,fouls.drawn,fouls.committed,cards.yellow,cards.yellowred,cards.red,penalty.won,penalty.commited,penalty.success,penalty.missed,penalty.saved,games.appearences,games.minutes_played,games.lineups,substitutes.in,substitutes.out,substitutes.bench
516,Arjen Robben,Arjen,Robben,,Midfielder,35,23/01/1984,Bedum,Netherlands,Netherlands,180 cm,80 kg,,7.02,157,Bayern Munich,Bundesliga,2018-2019,0,22,12,4,0,0,231,16,75,1,1,3,51,20,18,6,5,5,1,1,0,0,0,0,0,0,12,567,7,5,4,7
513,Renato Sanches,Renato Júnior,Luz Sanches,,Midfielder,23,18/08/1997,Lisboa,Portugal,Portugal,176 cm,70 kg,,6.746666,157,Bayern Munich,Bundesliga,2018-2019,0,17,4,1,0,1,307,9,85,6,0,4,78,37,24,17,12,10,2,1,0,0,0,0,0,0,17,567,4,13,2,26
498,Sven Ulreich,Sven,Ulreich,,Goalkeeper,32,03/08/1988,Schorndorf,Germany,Germany,192 cm,87 kg,,6.6,157,Bayern Munich,Bundesliga,2018-2019,0,0,0,0,9,0,160,0,80,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9,757,8,1,0,26
506,Niklas Süle,Niklas,Süle,,Defender,25,03/09/1995,Frankfurt am Main,Germany,Germany,195 cm,97 kg,,7.146666,157,Bayern Munich,Bundesliga,2018-2019,0,18,5,2,0,0,2284,6,92,22,13,35,166,115,3,3,6,16,3,0,0,0,0,0,0,0,31,2652,29,2,0,5
499,Jérôme Boateng,Jérôme,Boateng,,Defender,32,03/09/1988,Berlin,Germany,Germany,192 cm,90 kg,,7.116666,157,Bayern Munich,Bundesliga,2018-2019,0,14,3,0,0,1,1335,8,88,14,3,23,87,58,1,1,8,14,1,0,0,0,2,0,0,0,20,1693,19,1,1,12
514,Javi Martínez,Javier,Martínez Aginaga,,Midfielder,32,02/09/1988,Estella,Spain,Spain,192 cm,86 kg,,7.010526,157,Bayern Munich,Bundesliga,2018-2019,0,18,8,3,0,0,794,7,87,15,5,32,161,95,9,5,13,12,3,0,0,0,0,0,0,0,21,1311,16,5,7,14
509,Alphonso Davies,Alphonso,Davies,,Midfielder,20,02/11/2000,Buduburam,Ghana,Canada,181 cm,72 kg,,5.933333,157,Bayern Munich,Bundesliga,2018-2019,0,0,0,1,0,0,13,0,72,0,0,1,12,3,5,2,0,1,1,0,0,0,1,0,0,0,6,74,0,6,0,13
522,Thomas Müller,Thomas,Müller,,Attacker,31,13/09/1989,Weilheim,Germany,Germany,186 cm,75 kg,,7.251612,157,Bayern Munich,Bundesliga,2018-2019,7,61,26,6,0,8,865,60,74,21,5,9,260,132,33,22,23,23,1,0,0,0,0,0,0,0,32,2391,28,4,17,6
501,Mats Hummels,Mats,Hummels,,Defender,32,16/12/1988,Bergisch Gladbach,Germany,Germany,191 cm,92 kg,,7.2,157,Bayern Munich,Bundesliga,2018-2019,0,19,5,1,0,1,1551,13,88,17,8,35,193,129,11,10,9,9,1,0,0,0,1,0,0,0,21,1775,20,1,1,9
504,Jonathan Meier,Jonathan,Meier,,Defender,21,11/11/1999,München,Germany,Germany,181 cm,75 kg,,,157,Bayern Munich,Bundesliga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
12859,Sandro Wagner,Sandro,Wagner,,Attacker,33,29/11/1987,München,Germany,Germany,194 cm,92 kg,,6.566666,157,Bayern Munich,Bundesliga,2018-2019,0,3,2,0,0,0,24,1,68,2,0,0,15,10,0,0,0,1,2,0,0,0,0,0,0,0,7,138,1,6,1,14
496,Ron-Torben Hoffmann,Ron-Torben,Hoffmann,,Goalkeeper,21,04/04/1999,Rostock,Germany,Germany,192 cm,84 kg,,,157,Bayern Munich,Bundesliga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
495,Christian Früchtl,Christian,Früchtl,,Goalkeeper,20,28/01/2000,Bischofsmais,Germany,Germany,193 cm,84 kg,,,157,Bayern Munich,Bundesliga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
503,Lars Lukas Mai,Lars Lukas,Mai,,Defender,20,31/03/2000,Dresden,Germany,Germany,189 cm,84 kg,,,157,Bayern Munich,Bundesliga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
520,Paul Will,Paul,Will,,Midfielder,21,01/03/1999,Biedenkopf,Germany,Germany,185 cm,77 kg,,,157,Bayern Munich,Bundesliga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
512,Jeong Woo-Yeong,Woo-Yeong,Jeong,,Midfielder,21,20/09/1999,Ulsan,Korea Republic,Korea Republic,180 cm,70 kg,,,157,Bayern Munich,Bundesliga,2018-2019,0,1,1,0,0,0,1,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,4
518,Meritan Shabani,Meritan,Shabani,,Midfielder,21,15/03/1999,München,Germany,Germany,185 cm,78 kg,,,157,Bayern Munich,Bundesliga,2018-2019,0,0,0,0,0,0,2,0,66,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
515,Franck Bilal Ribéry,Franck Bilal,Ribéry,,Midfielder,37,07/04/1983,Boulogne-sur-Mer,France,France,170 cm,72 kg,,6.758333,157,Bayern Munich,Bundesliga,2018-2019,0,26,11,6,0,3,560,20,82,7,0,7,184,71,73,36,19,17,3,0,0,1,0,0,0,0,25,1167,10,15,8,17
500,Rafinha,Márcio Rafael,Ferreira de Souza,,Defender,35,07/09/1985,Londrina,Brazil,Brazil,172 cm,68 kg,,6.942857,157,Bayern Munich,Bundesliga,2018-2019,0,4,1,1,0,1,712,5,90,7,3,19,66,34,9,5,7,7,1,0,0,0,0,0,0,0,16,896,9,7,2,20
517,James David Rodríguez,James David,Rodríguez Rubio,,Midfielder,29,12/07/1991,Cúcuta,Colombia,Colombia,180 cm,75 kg,,7.352631,157,Bayern Munich,Bundesliga,2018-2019,0,30,15,7,0,3,704,51,87,8,0,4,89,44,25,15,14,7,2,0,0,1,0,0,0,0,20,1142,13,7,11,11
505,David Alaba,David,Olatukunbo Alaba,,Defender,28,24/06/1992,Wien,Austria,Austria,180 cm,78 kg,,7.15,157,Bayern Munich,Bundesliga,2018-2019,0,46,16,3,0,2,1468,26,84,21,3,30,165,96,36,27,11,13,4,0,0,0,0,0,0,0,31,2533,29,2,5,2
521,Robert Lewandowski,Robert,Lewandowski,,Attacker,32,21/08/1988,Warszawa,Poland,Poland,184 cm,80 kg,,7.453125,157,Bayern Munich,Bundesliga,2018-2019,1,139,48,22,0,7,548,47,77,8,1,7,338,162,73,48,47,25,2,0,0,1,0,3,1,0,33,2959,33,0,2,1
507,Thiago Alcântara,Thiago,Alcântara do Nascimento,,Midfielder,29,11/04/1991,San Pietro Vernotico,Italy,Spain,174 cm,70 kg,,7.537931,157,Bayern Munich,Bundesliga,2018-2019,0,23,8,2,0,5,2197,39,88,61,2,44,343,206,66,56,34,50,5,0,0,0,1,0,0,0,30,2407,26,4,3,4
519,Corentin Tolisso,Corentin,Tolisso,,Midfielder,26,03/08/1994,Tarare,France,France,181 cm,81 kg,,6.95,157,Bayern Munich,Bundesliga,2018-2019,0,1,1,1,0,0,34,2,72,0,1,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,2,52,1,1,1,3
508,Kingsley Coman,Kingsley,Coman,,Midfielder,24,13/06/1996,Paris,France,France,179 cm,75 kg,,7.168421,157,Bayern Munich,Bundesliga,2018-2019,0,29,18,6,0,4,496,27,84,6,0,5,226,122,89,60,40,16,2,0,0,0,0,0,0,0,21,1387,17,4,13,4
497,Manuel Neuer,Manuel,Neuer,,Goalkeeper,34,27/03/1986,Gelsenkirchen,Germany,Germany,193 cm,92 kg,,6.596,157,Bayern Munich,Bundesliga,2018-2019,25,0,0,0,24,0,640,1,82,1,0,0,8,6,0,0,2,1,1,0,0,0,0,0,0,0,26,2303,26,0,1,0
502,Joshua Kimmich,Joshua,Kimmich,,Defender,25,08/02/1995,Rottweil,Germany,Germany,176 cm,73 kg,,7.651515,157,Bayern Munich,Bundesliga,2018-2019,0,24,9,2,0,13,2206,83,89,26,8,33,277,155,56,36,50,27,4,0,0,1,0,0,0,0,34,3060,34,0,0,0
510,Serge Gnabry,Serge,Gnabry,,Midfielder,25,14/07/1995,Stuttgart,Germany,Germany,175 cm,75 kg,,7.11,157,Bayern Munich,Bundesliga,2018-2019,0,66,32,10,0,5,661,29,81,20,0,11,260,108,107,50,15,25,0,0,0,0,0,0,0,0,30,1771,21,9,18,9
511,Leon Goretzka,Leon,Goretzka,,Midfielder,25,06/02/1995,Bochum,Germany,Germany,189 cm,76 kg,,7.034482,157,Bayern Munich,Bundesliga,2018-2019,0,54,21,8,0,3,956,16,86,20,4,24,223,107,19,13,20,26,3,0,0,0,0,0,0,0,30,2021,23,7,5,7
24924,Justin Hoogma,Justin,Hoogma,,Defender,22,11/06/1998,Enschede,Netherlands,Netherlands,190 cm,81 kg,,6.95,167,1899 Hoffenheim,Bundesliga,2018-2019,0,0,0,0,0,0,90,0,93,2,1,2,11,6,0,0,0,0,0,0,0,0,0,0,0,0,2,110,1,1,0,5
706,Joshua Brenet,Joshua,Brenet,,Defender,26,20/03/1994,Kerkrade,Netherlands,Netherlands,182 cm,70 kg,,6.85,167,1899 Hoffenheim,Bundesliga,2018-2019,0,10,7,2,0,1,328,9,80,13,1,9,106,47,24,14,5,20,0,0,0,0,0,0,0,0,14,905,10,4,3,20
707,Moody Chana,Moody,Chana,,Defender,21,07/01/1999,Leer,Germany,Germany,184 cm,73 kg,,,167,1899 Hoffenheim,Bundesliga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
717,Kerem Demirbay,Kerem,Demirbay,,Midfielder,27,03/07/1993,Herten,Germany,Germany,182 cm,72 kg,,7.438461,167,1899 Hoffenheim,Bundesliga,2018-2019,0,59,17,4,0,9,1030,80,81,35,10,22,342,166,76,58,34,46,6,0,0,0,0,0,0,0,26,2023,24,2,8,3
702,Oliver Baumann,Oliver,Baumann,,Goalkeeper,30,02/06/1990,Breisach,Germany,Germany,187 cm,82 kg,,6.875757,167,1899 Hoffenheim,Bundesliga,2018-2019,5,0,0,0,51,1,835,2,76,0,0,2,13,12,0,0,6,0,0,0,0,0,0,0,0,0,33,2970,33,0,0,0
703,Alexander Stolz,Alexander,Stolz,,Goalkeeper,37,13/10/1983,Pforzheim,Germany,Germany,189 cm,89 kg,,,167,1899 Hoffenheim,Bundesliga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
19021,Håvard Nordtveit,Håvard,Nordtveit,,Defender,30,21/06/1990,Vats,Norway,Norway,188 cm,85 kg,,6.4,167,1899 Hoffenheim,Bundesliga,2018-2019,0,4,0,0,0,0,224,2,86,5,5,4,45,22,7,5,3,13,2,0,0,0,1,0,0,0,8,467,4,4,1,4
708,Benjamin Hübner,Benjamin,Hübner,,Defender,31,04/07/1989,Wiesbaden,Germany,Germany,193 cm,85 kg,,7.13,167,1899 Hoffenheim,Bundesliga,2018-2019,1,9,4,0,0,0,413,1,81,18,7,21,95,64,2,1,10,8,2,0,0,0,0,0,0,0,10,813,9,1,1,5
25366,Kevin Akpoguma,Kevin,Akpoguma,,Defender,25,19/04/1995,Neustadt an der Weinstraße,Germany,Germany,192 cm,82 kg,,6.575,167,1899 Hoffenheim,Bundesliga,2018-2019,0,0,0,0,0,0,133,0,79,6,2,10,32,20,2,2,2,4,2,0,0,0,1,0,0,0,8,498,5,3,2,5
718,Dennis Geiger,Dennis,Geiger,,Midfielder,22,10/06/1998,Mosbach,Germany,Germany,172 cm,65 kg,,6.875,167,1899 Hoffenheim,Bundesliga,2018-2019,0,4,2,0,0,1,122,7,88,1,0,3,38,11,4,1,6,5,1,0,0,1,0,0,0,0,4,245,2,2,1,2
715,Christoph Baumgartner,Christoph,Baumgartner,,Midfielder,21,01/08/1999,Horn,Austria,Austria,178 cm,68 kg,,6.05,167,1899 Hoffenheim,Bundesliga,2018-2019,0,2,0,0,0,0,22,0,64,0,0,0,16,10,6,5,3,2,2,1,0,0,0,0,0,0,2,85,1,1,0,6
2811,Steven Zuber,Steven,Zuber,,Midfielder,29,17/08/1991,Winterthur,Switzerland,Switzerland,182 cm,79 kg,,6.811111,167,1899 Hoffenheim,Bundesliga,2018-2019,0,16,4,0,0,1,212,10,77,9,1,5,67,29,11,4,7,8,1,0,0,0,0,0,0,0,9,572,6,3,4,10
724,Ishak Belfodil,Ishak,Belfodil,,Attacker,28,12/01/1992,Mostaganem,Algeria,Algeria,192 cm,86 kg,,7.342857,167,1899 Hoffenheim,Bundesliga,2018-2019,0,88,36,16,0,3,314,30,74,10,0,3,250,113,55,38,14,25,3,0,0,1,0,0,0,0,28,1863,20,8,7,13
726,Andrej Kramarić,Andrej,Kramarić,,Attacker,29,19/06/1991,Zagreb,Croatia,Croatia,177 cm,73 kg,,7.166666,167,1899 Hoffenheim,Bundesliga,2018-2019,0,110,44,17,0,4,774,52,79,4,3,9,185,64,52,28,19,7,2,0,0,0,0,5,1,0,30,2404,28,2,10,3
26248,Vincenzo Grifo,Vincenzo,Grifo,,Midfielder,27,07/04/1993,Pforzheim,Germany,Italy,180 cm,72 kg,,7.375,167,1899 Hoffenheim,Bundesliga,2018-2019,0,42,14,1,0,3,549,36,77,14,1,2,141,76,42,30,17,8,0,0,0,1,0,1,0,0,7,333,3,4,2,9
710,Kasim Adams Nuhu,Kasim Adams,Nuhu,,Defender,25,22/06/1995,Accra,Ghana,Ghana,190 cm,83 kg,,6.546153,167,1899 Hoffenheim,Bundesliga,2018-2019,0,2,0,0,0,1,427,1,81,11,5,23,111,59,8,7,3,22,5,1,0,0,1,0,0,0,13,906,11,2,3,9
713,Kevin Vogt,Kevin,Vogt,,Defender,29,23/09/1991,Witten,Germany,Germany,194 cm,85 kg,,6.778571,167,1899 Hoffenheim,Bundesliga,2018-2019,28,4,1,0,0,0,1652,6,87,15,11,33,143,75,4,3,11,22,5,0,0,0,2,0,0,0,28,2395,28,0,4,0
716,Leonardo Bittencourt,Leonardo,Bittencourt,,Midfielder,27,19/12/1993,Leipzig,Germany,Germany,171 cm,63 kg,,6.819047,167,1899 Hoffenheim,Bundesliga,2018-2019,0,23,9,1,0,3,341,22,75,26,1,13,164,83,23,10,30,17,1,0,0,0,0,0,0,0,21,1069,13,8,8,16
704,Alfons Amade,Alfons,Amade,,Defender,21,12/11/1999,Heidelberg,Germany,Germany,170 cm,62 kg,,6.3,167,1899 Hoffenheim,Bundesliga,2018-2019,0,1,0,0,0,0,1,0,50,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,2
7768,Meris Skenderović,Meris,Skenderović,,Attacker,22,28/03/1998,Mannheim,Germany,Montenegro,182 cm,73 kg,,,167,1899 Hoffenheim,Bundesliga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727,Reiss Nelson,Reiss,Nelson,,Attacker,21,10/12/1999,,England,England,175 cm,71 kg,,6.890909,167,1899 Hoffenheim,Bundesliga,2018-2019,0,21,11,7,0,0,194,16,83,10,1,5,86,39,27,16,5,8,0,0,0,0,0,0,0,0,23,629,5,18,4,22
723,Joelinton,Joelinton Cassio,Apolinário de Lira,,Attacker,24,14/08/1996,Aliança,Brazil,Brazil,186 cm,81 kg,,7.05,167,1899 Hoffenheim,Bundesliga,2018-2019,0,56,24,7,0,5,547,45,78,22,3,14,438,172,84,47,28,56,5,0,0,1,0,0,0,0,28,2136,25,3,10,3
720,Lukas Rupp,Lukas,Rupp,,Midfielder,29,08/01/1991,Heidelberg,Germany,Germany,178 cm,73 kg,,6.2,167,1899 Hoffenheim,Bundesliga,2018-2019,0,0,0,0,0,0,6,1,54,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,1,0,4
25282,Gregor Kobel,Gregor,Kobel,,Goalkeeper,23,06/12/1997,Zürich,Switzerland,Switzerland,194 cm,88 kg,,6.4,167,1899 Hoffenheim,Bundesliga,2018-2019,0,0,0,0,42,0,302,0,65,1,0,2,4,4,1,1,1,0,0,0,0,0,0,0,0,1,1,90,1,0,0,12
