player_id,player_name,firstname,lastname,number,position,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,rating,team_id,team_name,league,season,captain,shots.total,shots.on,goals.total,goals.conceded,goals.assists,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,fouls.drawn,fouls.committed,cards.yellow,cards.yellowred,cards.red,penalty.won,penalty.commited,penalty.success,penalty.missed,penalty.saved,games.appearences,games.minutes_played,games.lineups,substitutes.in,substitutes.out,substitutes.bench
50111,Uğurcan Gülay,Uğurcan,Gülay,,,20,25/07/1999,Kayseri,Turkey,Turkey,,,,,1001,Kayserispor,Süper Lig,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50122,Hakan Çıtak,Hakan,Çıtak,,Midfielder,20,02/03/1999,İstanbul,Turkey,Turkey,,,,6.3,1001,Kayserispor,Süper Lig,2018-2019,0,0,0,0,0,0,8,0,88,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,24
62639,Kazım Çelik,Kazım,Çelik,,Attacker,19,06/01/2000,Melikgazi,Turkey,Turkey,,,,6.3,1001,Kayserispor,Süper Lig,2018-2019,0,1,0,0,0,0,3,0,75,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,1,0,5
50113,Abdullah Gürbüz,Abdullah,Gürbüz,,Defender,19,11/03/2000,Kayseri,Turkey,Turkey,,,,,1001,Kayserispor,Süper Lig,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
50114,Olexandr Kucher,Olexandr,Kucher,,Defender,37,22/10/1982,Kyiv,Ukraine,Ukraine,184 cm,77 kg,,6.622222,1001,Kayserispor,Süper Lig,2018-2019,0,2,0,0,0,1,472,4,79,8,0,21,77,43,0,0,9,12,7,0,0,0,0,0,0,0,21,1219,13,8,1,16
50121,Şamil Çinaz,Şamil,Çinaz,,Midfielder,33,08/03/1986,Nürnberg,Germany,Turkey,187 cm,77 kg,,6.770833,1001,Kayserispor,Süper Lig,2018-2019,0,15,5,2,0,1,857,17,80,22,13,17,211,108,6,3,25,35,6,0,1,0,0,0,0,0,25,1986,22,3,3,4
3431,Asamoah Gyan,Asamoah,Gyan,,Attacker,35,22/11/1985,Accra,Ghana,Ghana,186 cm,77 kg,,6.941666,1001,Kayserispor,Süper Lig,2018-2019,0,15,7,4,0,0,57,4,56,0,0,0,49,15,4,1,2,4,0,0,0,0,0,0,0,0,14,258,0,14,0,23
50112,Levent Gülen,Levent,Gülen,,Defender,26,16/03/1994,Zürich,Switzerland,Switzerland,180 cm,70 kg,,6.57619,1001,Kayserispor,Süper Lig,2018-2019,0,4,0,0,0,0,475,2,73,15,6,14,112,62,7,5,11,16,2,0,0,0,1,0,0,0,26,1368,13,13,2,20
50109,Ercan Çifci,Ercan,Çifci,,Defender,20,23/09/2000,Kayseri,Turkey,Turkey,,,,,1001,Kayserispor,Süper Lig,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50130,Berkant Şahin Kök,Berkant Şahin,Kök,,Attacker,22,23/04/1998,Eskişehir,Turkey,Turkey,,,,,1001,Kayserispor,Süper Lig,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
