player_id,player_name,firstname,lastname,number,position,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,rating,team_id,team_name,league,season,captain,shots.total,shots.on,goals.total,goals.conceded,goals.assists,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,fouls.drawn,fouls.committed,cards.yellow,cards.yellowred,cards.red,penalty.won,penalty.commited,penalty.success,penalty.missed,penalty.saved,games.appearences,games.minutes_played,games.lineups,substitutes.in,substitutes.out,substitutes.bench
1633,Ivan Strinić,Ivan,Strinić,,Defender,32,17/07/1987,Split,Croatia,Croatia,186 cm,78 kg,,,489,AC Milan,Serie A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1647,Emanuele Torrasi,Emanuele,Torrasi,,Midfielder,20,16/03/1999,Milano,Italy,Italy,,,,,489,AC Milan,Serie A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1626,Ignazio Abate,Ignazio,Abate,,Defender,33,12/11/1986,Sant'Agata de' Goti,Italy,Italy,180 cm,73 kg,,6.855555,489,AC Milan,Serie A,2018-2019,6,1,1,0,0,0,674,7,75,19,6,18,94,57,10,4,6,13,4,0,0,0,1,0,0,0,19,1305,15,4,7,23
1645,Riccardo Montolivo,Riccardo,Montolivo,,Midfielder,34,18/01/1985,Caravaggio,Italy,Italy,182 cm,79 kg,,,489,AC Milan,Serie A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
1652,Franck Tsadjout,Franck,Tsadjout,,Attacker,21,28/07/1999,Perugia,Italy,Italy,190 cm,,,,489,AC Milan,Serie A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
91376,Marco Storari,Marco,Storari,,Goalkeeper,41,07/01/1977,Pisa,Italy,Italy,187 cm,76 kg,,,489,AC Milan,Serie A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2115,Alen Halilović,Alen,Halilović,,Midfielder,24,18/06/1996,Dubrovnik,Croatia,Croatia,169 cm,69 kg,,,489,AC Milan,Serie A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
1644,José Mauri,José,Mauri,,Midfielder,24,16/05/1996,Realicó,Argentina,Italy,169 cm,63 kg,,6.7,489,AC Milan,Serie A,2018-2019,0,4,0,0,0,0,89,2,88,4,0,5,36,19,6,5,4,5,0,0,0,0,0,0,0,0,5,207,2,3,2,30
1635,Tiemoué Bakayoko,Tiemoué,Bakayoko,,Midfielder,26,17/08/1994,Paris,France,France,185 cm,77 kg,,6.883333,489,AC Milan,Serie A,2018-2019,0,24,5,1,0,1,1113,23,85,41,5,47,446,262,80,57,69,42,6,1,0,0,0,0,0,0,31,2301,26,5,4,11
1650,Suso,Jesús Joaquín,Fernández Sáez de la Torre,,Midfielder,27,19/11/1993,Cádiz,Spain,Spain,177 cm,70 kg,,7.594117,489,AC Milan,Serie A,2018-2019,0,95,40,7,0,10,1215,97,81,17,1,16,339,174,95,64,79,29,9,1,0,0,0,0,0,0,35,3031,35,0,12,1
1624,Pepe Reina,José Manuel,Reina Páez,,Goalkeeper,38,31/08/1982,Madrid,Spain,Spain,188 cm,92 kg,,6.875,489,AC Milan,Serie A,2018-2019,0,0,0,0,5,0,66,0,70,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,328,2,2,0,31
1623,Alessandro Plizzari,Alessandro,Plizzari,,Goalkeeper,20,12/03/2000,Crema,Italy,Italy,187 cm,73 kg,,,489,AC Milan,Serie A,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2297,Gonzalo Gerardo Higuaín,Gonzalo Gerardo,Higuaín,,Attacker,33,10/12/1987,Brest,France,Argentina,186 cm,89 kg,,7.12,489,AC Milan,Serie A,2018-2019,0,56,18,6,0,1,278,19,82,6,0,0,128,51,36,20,13,15,3,0,1,0,0,0,1,0,15,1280,15,0,2,0
