player_id,player_name,firstname,lastname,number,position,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,rating,team_id,team_name,league,season,captain,shots.total,shots.on,goals.total,goals.conceded,goals.assists,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,fouls.drawn,fouls.committed,cards.yellow,cards.yellowred,cards.red,penalty.won,penalty.commited,penalty.success,penalty.missed,penalty.saved,games.appearences,games.minutes_played,games.lineups,substitutes.in,substitutes.out,substitutes.bench
97855,Kevin Reimink,Kevin,Reimink,,Goalkeeper,19,08/02/1999,,Netherlands,Netherlands,,,,,193,PEC Zwolle,Eredivisie,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93675,Shaquile Woudstra,Shaquile,Woudstra,,Defender,21,26/02/1997,,Netherlands,Netherlands,,,,,193,PEC Zwolle,Eredivisie,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36930,Steff Kaptein,Steff,Kaptein,,Midfielder,20,27/08/1999,,Netherlands,Netherlands,,,,,193,PEC Zwolle,Eredivisie,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
36911,Diederik Boer,Diederik,Boer,,Goalkeeper,39,24/09/1980,Emmeloord,Netherlands,Netherlands,194 cm,89 kg,,5.85,193,PEC Zwolle,Eredivisie,2018-2019,0,0,0,0,13,0,122,0,68,0,0,0,3,2,0,0,1,1,0,0,1,0,0,0,0,0,7,547,6,1,0,16
93290,Dirk Marcellis,Dirk,Marcellis,,Defender,30,13/04/1988,Horst,Netherlands,Netherlands,181 cm,80 kg,,,193,PEC Zwolle,Eredivisie,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,136,2,0,1,0
36912,Dean Anthony Bouzanis,Dean Anthony,Bouzanis,,Goalkeeper,30,02/10/1990,Sydney,Australia,Australia,185 cm,84 kg,,,193,PEC Zwolle,Eredivisie,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
36928,Denis Genreau,Denis,Genreau,,Midfielder,21,21/05/1999,Paris,France,Australia,174 cm,73 kg,,6.318181,193,PEC Zwolle,Eredivisie,2018-2019,0,5,0,0,0,1,153,8,68,10,1,3,96,31,13,3,6,21,2,0,0,0,0,0,0,0,10,510,6,4,5,19
36924,Ouasim Bouy,Ouasim,Bouy,,Midfielder,26,11/06/1993,Amsterdam,Netherlands,Netherlands,180 cm,72 kg,,6.805882,193,PEC Zwolle,Eredivisie,2018-2019,0,12,1,0,0,0,680,12,80,8,4,10,82,35,10,4,1,12,1,0,0,0,0,0,0,0,18,1030,12,6,9,19
36927,Zian Flemming,Zian,Flemming,,Midfielder,22,01/08/1998,,Netherlands,Netherlands,185 cm,,,6.53913,193,PEC Zwolle,Eredivisie,2018-2019,0,48,12,2,0,0,158,10,61,7,1,6,158,69,14,5,14,21,1,0,0,0,0,0,0,0,25,1196,12,13,4,20
36917,Dico Koppers,Dico,Koppers,,Defender,28,31/01/1992,Harmelen,Netherlands,Netherlands,175 cm,67 kg,,,193,PEC Zwolle,Eredivisie,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
36913,Mike Hauptmeijer,Mike,Hauptmeijer,,Goalkeeper,23,18/03/1997,Dalfsen,Netherlands,Netherlands,190 cm,70 kg,,,193,PEC Zwolle,Eredivisie,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
36923,Bram van Polen,Bram,van Polen,,Defender,35,11/10/1985,Nijkerk,Netherlands,Netherlands,179 cm,73 kg,,6.86,193,PEC Zwolle,Eredivisie,2018-2019,20,12,4,2,0,0,928,4,83,26,9,32,179,98,6,3,10,28,6,0,0,0,0,0,0,0,22,1920,22,0,2,2
36920,Yuta Nakayama,Yuta,Nakayama,,Defender,23,16/02/1997,Saitama,Japan,Japan,181 cm,70 kg,,6.625,193,PEC Zwolle,Eredivisie,2018-2019,0,2,1,0,0,0,197,1,94,1,1,4,20,9,4,1,0,3,0,0,0,0,0,0,0,0,4,210,2,2,0,9
36921,Kenneth Paal,Kenneth,Paal,,Defender,23,24/06/1997,Arnhem,Netherlands,Netherlands,174 cm,70 kg,,6.622222,193,PEC Zwolle,Eredivisie,2018-2019,0,12,4,0,0,2,973,26,81,24,3,33,234,128,48,25,40,21,5,0,0,0,1,0,0,0,29,2535,28,1,2,3
36915,Destan Bajselmani,Destan,Bajselmani,,Defender,21,13/03/1999,,Netherlands,Netherlands,178 cm,,,,193,PEC Zwolle,Eredivisie,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
36926,Rick Dekker,Rick,Dekker,,Midfielder,25,15/03/1995,Lekkerkerk,Netherlands,Netherlands,173 cm,,,6.84,193,PEC Zwolle,Eredivisie,2018-2019,0,5,2,1,0,0,446,11,78,19,3,27,108,55,2,2,13,20,3,0,0,0,0,0,0,0,15,1036,12,3,6,20
36925,Pelle Clement,Pelle,Clement,,Midfielder,24,19/05/1996,Amsterdam,Netherlands,Netherlands,177 cm,,,6.713333,193,PEC Zwolle,Eredivisie,2018-2019,0,7,0,0,0,3,594,15,85,15,2,11,151,74,39,23,15,8,3,0,0,0,0,0,0,0,17,1462,17,0,5,0
36929,Gustavo Hamer,Gustavo,Hamer,,Midfielder,23,24/06/1997,Itajaí,Brazil,Netherlands,169 cm,61 kg,,6.904761,193,PEC Zwolle,Eredivisie,2018-2019,0,36,8,0,0,0,877,20,80,28,2,43,167,73,21,9,2,23,4,0,0,0,1,0,0,0,23,1733,20,3,6,11
36934,Thomas van den Belt,Thomas,van den Belt,,Midfielder,19,18/06/2001,,Netherlands,Netherlands,,,,,193,PEC Zwolle,Eredivisie,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
36933,Eliano Reijnders,Eliano,Reijnders,,Midfielder,20,23/10/2000,,Netherlands,Netherlands,,,,,193,PEC Zwolle,Eredivisie,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36937,Vito van Crooij,Vito,van Crooij,,Attacker,24,29/01/1996,Venlo,Netherlands,Netherlands,179 cm,65 kg,,6.95862,193,PEC Zwolle,Eredivisie,2018-2019,0,52,25,9,0,2,369,23,68,17,3,12,283,120,42,16,28,32,8,1,0,1,0,0,0,0,30,2397,27,3,8,3
36938,Mike van Duinen,Mike,van Duinen,,Attacker,29,06/11/1991,Den Haag,Netherlands,Netherlands,185 cm,74 kg,,6.938709,193,PEC Zwolle,Eredivisie,2018-2019,0,80,28,8,0,3,360,23,69,29,3,17,451,201,110,43,55,38,3,0,0,1,0,3,1,0,33,2731,31,2,7,2
36936,Lennart Thy,Lennart,Thy,,Attacker,28,25/02/1992,Frechen,Germany,Germany,184 cm,78 kg,,7.092857,193,PEC Zwolle,Eredivisie,2018-2019,0,27,15,9,0,1,261,12,70,3,0,6,139,57,21,9,21,7,0,0,0,0,0,0,0,0,17,1330,15,2,5,2
36931,Clint Leemans,Clint,Leemans,,Midfielder,25,15/09/1995,Veldhoven,Netherlands,Netherlands,186 cm,74 kg,,6.915789,193,PEC Zwolle,Eredivisie,2018-2019,0,31,9,2,0,0,515,27,76,10,1,8,97,49,3,1,2,7,2,0,0,0,0,0,0,0,21,1041,11,10,4,20
36935,Stanley Elbers,Stanley,Elbers,,Attacker,28,14/05/1992,Wassenaar,Netherlands,Netherlands,172 cm,69 kg,,6.572727,193,PEC Zwolle,Eredivisie,2018-2019,0,13,6,1,0,1,108,7,72,8,1,2,81,19,22,6,4,13,2,0,0,0,0,0,0,0,23,619,3,20,2,24
38806,Terell Ondaan,Terell,Ondaan,,Attacker,27,09/09/1993,Amsterdam,Netherlands,Guyana,173 cm,67 kg,,6.3,193,PEC Zwolle,Eredivisie,2018-2019,0,0,0,0,0,0,2,0,50,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,3
