player_id,player_name,firstname,lastname,number,position,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,rating,team_id,team_name,league,season,captain,shots.total,shots.on,goals.total,goals.conceded,goals.assists,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,fouls.drawn,fouls.committed,cards.yellow,cards.yellowred,cards.red,penalty.won,penalty.commited,penalty.success,penalty.missed,penalty.saved,games.appearences,games.minutes_played,games.lineups,substitutes.in,substitutes.out,substitutes.bench
53687,Aleksandr Samedov,Aleksandr,Samedov,,Midfielder,35,19/07/1984,Moskva,Russia,Russia,178 cm,75 kg,,7.188888,1079,Krylya Sovetov,Premier Liga,2018-2019,0,12,3,0,0,3,269,25,81,9,2,3,76,37,18,10,12,6,1,0,0,0,0,0,0,0,9,608,8,1,5,2
104572,Gennady Kiselev,Gennady,Kiselev,,Midfielder,20,03/01/1999,Yoshkar-Ola,Russia,Russia,176 cm,66 kg,,,1079,Krylya Sovetov,Premier Liga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
53692,Sergey Kornilenko,Sergey,Kornilenko,,Attacker,36,14/06/1983,Vitebsk,Belarus,Belarus,186 cm,90 kg,,6.615,1079,Krylya Sovetov,Premier Liga,2018-2019,12,18,6,4,0,0,144,10,55,1,1,2,176,65,11,4,26,27,5,1,0,1,0,1,0,0,21,1006,12,9,10,12
53686,Mohammed Rabiu,Mohammed,Rabiu,,Midfielder,31,31/12/1989,Accra,Ghana,Ghana,187 cm,70 kg,,6.754545,1079,Krylya Sovetov,Premier Liga,2018-2019,1,2,1,0,0,0,249,1,76,19,6,20,102,58,5,3,16,17,4,0,0,0,0,0,0,0,9,620,8,1,5,1
21019,Yohan Mollo,Yohan,Mollo,,Midfielder,31,18/07/1989,Martigues,France,France,176 cm,75 kg,,6.814285,1079,Krylya Sovetov,Premier Liga,2018-2019,0,5,1,0,0,0,130,9,81,2,0,3,34,19,2,2,11,2,1,0,0,0,0,0,0,0,7,375,4,3,3,4
53675,Vitali Denisov,Vitali,Denisov,,Defender,33,23/02/1987,Tashkent,Uzbekistan,Uzbekistan,178 cm,75 kg,,6.935294,1079,Krylya Sovetov,Premier Liga,2018-2019,0,5,0,0,0,1,622,17,75,26,6,33,169,105,10,10,25,20,2,1,0,0,1,0,0,0,15,1234,15,0,4,2
53689,Denis Tkachuk,Denis,Tkachuk,,Midfielder,31,02/07/1989,Belgorod,Russia,Russia,176 cm,73 kg,,6.808695,1079,Krylya Sovetov,Premier Liga,2018-2019,0,44,9,2,0,3,323,30,71,13,4,12,194,95,19,6,47,13,2,0,0,0,1,0,0,0,21,1485,15,6,3,15
53681,Mikhail Tikhonov,Mikhail,Tikhonov,,Defender,22,17/07/1998,Moscow,Russia,Russia,176 cm,74 kg,,,1079,Krylya Sovetov,Premier Liga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14
43384,Danil Klenkin,Danil,Klenkin,,Midfielder,30,14/07/1990,Vnukovo,Russia,Russia,174 cm,67 kg,,,1079,Krylya Sovetov,Premier Liga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7916,Alan Chochiev,Alan,Chochiev,,Midfielder,29,07/09/1991,Vladikavkaz,Russia,Russia,180 cm,70 kg,,6.866666,1079,Krylya Sovetov,Premier Liga,2018-2019,0,13,4,0,0,0,252,8,81,10,2,8,74,34,7,2,8,10,0,0,0,0,0,0,0,0,9,698,9,0,7,7
