Player Name,Club Name,Position,DoB(age),Nationality,Height,Dominant foot,Contract Expired,Market Value,position,age,birth_date,birth_place,birth_country,nationality,height,weight,rating,team_id,league,season,captain,shots.total,shots.on,goals.total,goals.conceded,goals.assists,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,fouls.drawn,fouls.committed,cards.yellow,cards.yellowred,cards.red,penalty.won,penalty.commited,penalty.success,penalty.missed,penalty.saved,games.appearences,games.minutes_played,games.lineups,substitutes.in,substitutes.out,substitutes.bench
ederson,Manchester City,Goalkeeper,"Aug 17, 1993 (24)",Brazil,"1,88 m",left,30.06.2025,70.00m,Goalkeeper,27.0,17/08/1993,Osasco,Brazil,Brazil,188 cm,86 kg,6.8710520000000015,50.0,Premier League,2018-2019,0.0,0.0,0.0,0.0,23.0,1.0,760.0,3.0,83.0,3.0,0.0,1.0,21.0,19.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3420.0,38.0,0.0,0.0,0.0
arijanet muric,Manchester City,Goalkeeper,"Nov 7, 1998 (19)",Kosovo,"1,98 m",right,30.06.2021,2.00m,Goalkeeper,22.0,07/11/1998,Rozaje,Montenegro,Kosovo,198 cm,,,50.0,Premier League,2018-2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
aymeric laporte,Manchester City,Centre-Back,"May 27, 1994 (24)",France,"1,90 m",left,30.06.2025,75.00m,Defender,26.0,27/05/1994,Agen,France,France,191 cm,86 kg,7.1882350000000015,50.0,Premier League,2018-2019,0.0,26.0,7.0,3.0,0.0,3.0,2768.0,15.0,88.0,42.0,9.0,39.0,232.0,139.0,6.0,3.0,18.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,3057.0,34.0,1.0,1.0,2.0
nicolas otamendi,Manchester City,Centre-Back,"Feb 12, 1988 (30)",Argentina,"1,83 m",right,30.06.2022,25.00m,Defender,32.0,12/02/1988,Buenos Aires,Argentina,Argentina,183 cm,81 kg,7.14,50.0,Premier League,2018-2019,0.0,15.0,3.0,0.0,0.0,0.0,1152.0,2.0,79.0,24.0,4.0,29.0,105.0,70.0,2.0,2.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1233.0,14.0,4.0,1.0,21.0
vincent kompany,Manchester City,Centre-Back,"Apr 10, 1986 (32)",Belgium,"1,90 m",right,-,8.00m,Defender,34.0,10/04/1986,Uccle,Belgium,Belgium,193 cm,85 kg,7.166666,50.0,Premier League,2018-2019,13.0,5.0,1.0,1.0,0.0,0.0,1142.0,1.0,87.0,10.0,8.0,16.0,89.0,55.0,4.0,3.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1223.0,13.0,4.0,3.0,13.0
benjamin mendy,Manchester City,Left-Back,"Jul 17, 1994 (23)",France,"1,85 m",left,30.06.2023,35.00m,Defender,26.0,17/07/1994,Longjumeau,France,France,185 cm,85 kg,7.15,50.0,Premier League,2018-2019,0.0,7.0,3.0,0.0,0.0,5.0,574.0,12.0,87.0,16.0,4.0,10.0,94.0,35.0,16.0,9.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,900.0,10.0,0.0,0.0,1.0
kyle walker,Manchester City,Right-Back,"May 28, 1990 (28)",England,"1,83 m",right,30.06.2024,50.00m,Defender,30.0,28/05/1990,Sheffield,England,England,178 cm,70 kg,7.08125,50.0,Premier League,2018-2019,0.0,21.0,4.0,1.0,0.0,1.0,2153.0,24.0,86.0,40.0,5.0,36.0,199.0,117.0,34.0,18.0,14.0,15.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,2777.0,30.0,3.0,1.0,7.0
fernandinho,Manchester City,Defensive Midfield,"May 4, 1985 (33)",Brazil,"1,79 m",right,30.06.2021,12.00m,Midfielder,35.0,04/05/1985,Londrina,Brazil,Brazil,179 cm,67 kg,7.224137,50.0,Premier League,2018-2019,7.0,30.0,7.0,1.0,0.0,3.0,1793.0,23.0,86.0,57.0,4.0,41.0,322.0,177.0,26.0,19.0,26.0,40.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,2381.0,27.0,2.0,6.0,2.0
phil foden,Manchester City,Central Midfield,"May 28, 2000 (18)",England,"1,71 m",left,30.06.2024,25.00m,Midfielder,20.0,28/05/2000,Stockport,England,England,171 cm,70 kg,6.85,50.0,Premier League,2018-2019,0.0,14.0,6.0,1.0,0.0,0.0,200.0,8.0,85.0,7.0,0.0,4.0,47.0,22.0,11.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,327.0,3.0,10.0,2.0,26.0
kevin de bruyne,Manchester City,Attacking Midfield,"Jun 28, 1991 (27)",Belgium,"1,81 m",right,30.06.2023,130.00m,Midfielder,29.0,28/06/1991,Drongen,Belgium,Belgium,181 cm,68 kg,7.368421,50.0,Premier League,2018-2019,0.0,31.0,12.0,2.0,0.0,2.0,607.0,36.0,84.0,22.0,1.0,3.0,118.0,62.0,27.0,19.0,15.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,974.0,11.0,8.0,7.0,9.0
