,name,google_search
0,thomas didillon RSC Anderlecht,58500
1,frank boeckx RSC Anderlecht,27300
2,ilias moutha-sebtaoui RSC Anderlecht,4820
3,antonio milic RSC Anderlecht,36300
4,abdoul karim dante RSC Anderlecht,13600
5,elias cobbaut RSC Anderlecht,51000
6,andy najar RSC Anderlecht,26200
7,emmanuel sowah adjei RSC Anderlecht,8450
8,sven kums RSC Anderlecht,45600
9,edo kayembe RSC Anderlecht,20700
10,adrien trebel RSC Anderlecht,49100
11,pieter gerkens RSC Anderlecht,50500
12,alexis saelemaekers RSC Anderlecht,67900
13,kenny saief RSC Anderlecht,21100
14,ryota morioka RSC Anderlecht,40300
15,francis amuzu RSC Anderlecht,81000
16,knowledge musona RSC Anderlecht,40700
17,jeremy doku RSC Anderlecht,
18,ivan santini RSC Anderlecht,57000
19,boy de jong RSC Anderlecht,111000
20,sebastiaan bornauw RSC Anderlecht,48500
21,bubacarr sanneh RSC Anderlecht,14800
22,james lawrence RSC Anderlecht,183000
23,ognjen vranjes RSC Anderlecht,31700
24,hannes delcroix RSC Anderlecht,15700
25,ivan obradovic RSC Anderlecht,43500
26,dennis appiah RSC Anderlecht,24700
27,yevgen makarenko RSC Anderlecht,37800
28,peter zulj RSC Anderlecht,28800
29,albert sambi lokonga RSC Anderlecht,24000
30,yari verschaeren RSC Anderlecht,63800
31,yannick bolasie RSC Anderlecht,30000
32,zakaria bakkali RSC Anderlecht,
33,luka adzic RSC Anderlecht,21100
34,kristal abazaj RSC Anderlecht,9670
35,landry dimata RSC Anderlecht,54700
36,olivier dhauholou RSC Anderlecht,36500
37,ethan horvath Club Brugge,43300
38,guillaume hubert Club Brugge,98800
39,stefano denswil Club Brugge,69800
40,matej mitrovic Club Brugge,65200
41,benoit poulain Club Brugge,
42,luan peres Club Brugge,46300
43,dion cools Club Brugge,53400
44,noah fadiga Club Brugge,10600
45,marvelous nakamba Club Brugge,126000
46,ruud vormer Club Brugge,438000
47,krepin diatta Club Brugge,
48,cyril ngonge Club Brugge,22400
49,wesley Club Brugge,669000
50,lois openda Club Brugge,33000
51,kaveh rezaei Club Brugge,195000
52,karlo letica Club Brugge,54400
53,brent gabriel Club Brugge,835000
54,brandon mechele Club Brugge,96000
55,alexander scholz Club Brugge,88300
56,saulo decarli Club Brugge,
57,clinton mata Club Brugge,226000
58,ivan tomecak Club Brugge,
59,brendan schoonbaert Club Brugge,7460
60,mats rits Club Brugge,83300
61,brandon baiye Club Brugge,4490
62,sofyan amrabat Club Brugge,55700
63,hans vanaken Club Brugge,338000
64,arnaut danjuma Club Brugge,36400
65,thibault vlietinck Club Brugge,49000
66,siebe schrijvers Club Brugge,78100
67,emmanuel dennis Club Brugge,432000
68,jelle vossen Club Brugge,155000
69,lovre kalinic KAA Gent,19500
70,colin coosemans KAA Gent,24000
71,anthony swolfs KAA Gent,
72,dylan bronn KAA Gent,34400
73,igor plastun KAA Gent,26600
74,thibault de smet KAA Gent,37400
75,anderson esiti KAA Gent,25300
76,eric smith KAA Gent,133000
77,vadis odjidja-ofoe KAA Gent,28100
78,giorgi chakvetadze KAA Gent,28100
79,roman bezus KAA Gent,28000
80,jean-luc dompe KAA Gent,20700
81,aboubakary koita KAA Gent,10500
82,ahmed mostafa KAA Gent,31100
83,stallone limbombe KAA Gent,20200
84,taiwo awoniyi KAA Gent,42200
85,giorgi kvilitaia KAA Gent,39800
86,thomas kaminski KAA Gent,185000
87,yannick thoelen KAA Gent,27600
88,sigurd rosted KAA Gent,12100
89,timothy derijck KAA Gent,24400
90,nana asare KAA Gent,74800
91,arnaud souquet KAA Gent,10800
92,birger verstraete KAA Gent,44800
93,renato neto KAA Gent,30500
94,brecht dejaegere KAA Gent,61400
95,jonathan david KAA Gent,291000
96,franko andrijasevic KAA Gent,17200
97,philip azango KAA Gent,8390
98,roman yaremchuk KAA Gent,43900
99,guillermo ochoa Standard Liege,100000
100,jean-francois gillet Standard Liege,322000
101,christian luyindama Standard Liege,40600
102,milos kosanovic Standard Liege,28600
103,senna miangue Standard Liege,29900
104,collins fai Standard Liege,736000
105,reginal goreux Standard Liege,35100
106,razvan marin Standard Liege,54100
107,lindon selahi Standard Liege,6010
108,evangelos patoulidis Standard Liege,4220
109,edmilson junior Standard Liege,
110,maxime lestienne Standard Liege,54100
111,mehdi carcela-gonzalez Standard Liege,40700
112,obbi oulare Standard Liege,45600
113,orlando sa Standard Liege,635000
114,arnaud bodart Standard Liege,72900
115,zinho vanheusden Standard Liege,45400
116,konstantinos laifis Standard Liege,38700
117,hady sangare Standard Liege,20800
118,sebastien pocognoli Standard Liege,30500
119,luis pedro cavanda Standard Liege,24500
120,gojko cimirot Standard Liege,25100
121,merveille bokadi Standard Liege,28000
122,samuel bastien Standard Liege,108000
123,nicolas raskin Standard Liege,91500
124,carlinhos Standard Liege,32600
125,moussa djenepo Standard Liege,42100
126,paul-jose mpoku Standard Liege,80700
127,william balikwisha Standard Liege,13700
128,renaud emond Standard Liege,76200
129,danny vukovic K.R.C. Genk,27000
130,jhon lucumi K.R.C. Genk,40900
131,joseph aidoo K.R.C. Genk,35400
132,rubin seigers K.R.C. Genk,32600
133,casper de norre K.R.C. Genk,28000
134,bojan nastic K.R.C. Genk,
135,joakim maehle K.R.C. Genk,56100
136,ibrahima seck K.R.C. Genk,33500
137,bryan heynen K.R.C. Genk,40500
138,alejandro pozuelo K.R.C. Genk,104000
139,leandro trossard K.R.C. Genk,99200
140,junya ito K.R.C. Genk,27800
141,dieumerci ndongala K.R.C. Genk,
142,marcus ingvartsen K.R.C. Genk,16200
143,mbwana samatta K.R.C. Genk,127000
144,nordin jackers K.R.C. Genk,32700
145,maarten vandevoordt K.R.C. Genk,22400
146,sebastien dewaest K.R.C. Genk,56800
147,jere uronen K.R.C. Genk,36800
148,neto borges K.R.C. Genk,14800
149,sander berge K.R.C. Genk,127000
150,dries wouters K.R.C. Genk,76300
151,ruslan malinovskyi K.R.C. Genk,99700
152,jakub piotrowski K.R.C. Genk,43100
153,ivan fiolic K.R.C. Genk,28300
154,joseph paintsil K.R.C. Genk,57500
155,benson manuel K.R.C. Genk,123000
156,edon zhegrova K.R.C. Genk,17700
157,zinho gano K.R.C. Genk,96800
158,parfait mandanda RSC Charleroi,34300
159,remy riou RSC Charleroi,147000
160,dorian dessoleil RSC Charleroi,57200
161,steeven willems RSC Charleroi,303000
162,gjoko zajkov RSC Charleroi,27100
163,nurio fortuna RSC Charleroi,33600
164,stergos marinos RSC Charleroi,20100
165,marco ilaimaharitra RSC Charleroi,57300
166,christophe diandy RSC Charleroi,17400
167,nathan rodes RSC Charleroi,141000
168,cristian benavente RSC Charleroi,44000
169,romain grange RSC Charleroi,518000
170,ali gholizadeh RSC Charleroi,20800
171,victor osimhen RSC Charleroi,166000
172,adama niane RSC Charleroi,44300
173,jeremy perbet RSC Charleroi,29800
174,nicolas penneteau RSC Charleroi,43000
175,valentin baume RSC Charleroi,514000
176,gabriele angella RSC Charleroi,347000
177,javi martos RSC Charleroi,235000
178,maxime busi RSC Charleroi,208000
179,gaetan hendrickx RSC Charleroi,55800
180,omid noorafkan RSC Charleroi,9130
181,thomas wildemeersch RSC Charleroi,8260
182,david henen RSC Charleroi,42400
183,massimo bruno RSC Charleroi,628000
184,younes delfi RSC Charleroi,10600
185,ken nkuba RSC Charleroi,17000
186,sammy bossut Zulte Waregem,41000
187,eike bansen Zulte Waregem,16200
188,marvin baudry Zulte Waregem,39200
189,johan bjordal Zulte Waregem,13800
190,erdin demir Zulte Waregem,40600
191,bryan verboom Zulte Waregem,15900
192,davy de fauw Zulte Waregem,67200
193,hicham faik Zulte Waregem,16800
194,fredrik jensen Zulte Waregem,49200
195,gertjan de mets Zulte Waregem,23600
196,mathieu de smet Zulte Waregem,79500
197,henrik bjordal Zulte Waregem,18000
198,thomas buffel Zulte Waregem,62500
199,mamadou sylla Zulte Waregem,43900
200,hamdi harbaoui Zulte Waregem,46400
201,louis bostyn Zulte Waregem,67800
202,marco burki Zulte Waregem,114000
203,ewoud pletinckx Zulte Waregem,19900
204,michael heylen Zulte Waregem,58500
205,jonas taillieu Zulte Waregem,5930
206,kingsley madu Zulte Waregem,9660
207,sandy walsh Zulte Waregem,99000
208,florian tardieu Zulte Waregem,16500
209,damien marcq Zulte Waregem,28400
210,onur kaya Zulte Waregem,90000
211,urho nissila Zulte Waregem,8660
212,theo bongonda Zulte Waregem,70200
213,nill de pauw Zulte Waregem,46300
214,mikael soisalo Zulte Waregem,20300
215,idrissa sylla Zulte Waregem,35600
216,chris bedia Zulte Waregem,16700
217,fabrice ondoa KV Oostende,28800
218,thomas de bie KV Oostende,1030000
219,goran milovic KV Oostende,38600
220,aleksandar bjelica KV Oostende,91800
221,brecht capon KV Oostende,25900
222,amin nouri KV Oostende,149000
223,aristote nkaka KV Oostende,18300
224,kevin vandendriessche KV Oostende,
225,michiel jonckheere KV Oostende,22500
226,fernando canesin KV Oostende,39000
227,indy boonen KV Oostende,17400
228,nicolas rajsel KV Oostende,16600
229,fashion sakala KV Oostende,28100
230,tom de sutter KV Oostende,30800
231,william dutoit KV Oostende,38400
232,wout faes KV Oostende,24400
233,zarko tomasevic KV Oostende,
234,nicolas lombaerts KV Oostende,31900
235,laurens de bock KV Oostende,25800
236,logan ndenbe KV Oostende,28900
237,jelle bataille KV Oostende,22100
238,jordi vanlerberghe KV Oostende,53000
239,hasan ozkan KV Oostende,93600
240,emmanuel banda KV Oostende,25500
241,francois marquet KV Oostende,285000
242,sander coopman KV Oostende,
243,robbie d'haese KV Oostende,50600
244,richairo zivkovic KV Oostende,24300
245,sindrit guri KV Oostende,24300
246,sinan bolat Royal Antwerp F.C.,65500
247,yves de winter Royal Antwerp F.C.,1270000
248,dino arslanagic Royal Antwerp F.C.,39700
249,dylan batubinsika Royal Antwerp F.C.,13700
250,abdoulaye seck Royal Antwerp F.C.,19300
251,aurelio buta Royal Antwerp F.C.,22400
252,gael kakudji Royal Antwerp F.C.,7110
253,omar govea Royal Antwerp F.C.,44900
254,faris haroun Royal Antwerp F.C.,27200
255,lior refaelov Royal Antwerp F.C.,33600
256,goune niangadou Royal Antwerp F.C.,9980
257,didier lamkel ze Royal Antwerp F.C.,50800
258,amara baby Royal Antwerp F.C.,1190000
259,william owusu acheampong Royal Antwerp F.C.,13000
260,laurent mendy Royal Antwerp F.C.,393000
261,jens teunckens Royal Antwerp F.C.,35200
262,bill lathouwers Royal Antwerp F.C.,18300
263,matheus Royal Antwerp F.C.,410000
264,jelle van damme Royal Antwerp F.C.,62600
265,simen juklerod Royal Antwerp F.C.,8470
266,daniel opare Royal Antwerp F.C.,26300
267,robbe quirynen Royal Antwerp F.C.,30000
268,nader ghandri Royal Antwerp F.C.,4660
269,sambou yatabare Royal Antwerp F.C.,10800
270,yegor nazaryna Royal Antwerp F.C.,12300
271,geoffry hairemans Royal Antwerp F.C.,28700
272,nando nostlinger Royal Antwerp F.C.,15900
273,ivo rodrigues Royal Antwerp F.C.,54100
274,reda jaadi Royal Antwerp F.C.,148000
275,dieumerci mbokani Royal Antwerp F.C.,46500
276,jonathan bolingi Royal Antwerp F.C.,34300
277,ortwin de wolf KSC Lokeren,3890
278,robin mantel KSC Lokeren,62100
279,joher rassoul KSC Lokeren,
280,mijat maric KSC Lokeren,14200
281,olivier deschacht KSC Lokeren,17400
282,omri ben harush KSC Lokeren,5900
283,mickael tirpan KSC Lokeren,8100
284,tracy mpati bibuangu KSC Lokeren,12400
285,lukas marecek KSC Lokeren,8880
286,milan de mey KSC Lokeren,14300
287,julian michel KSC Lokeren,19900
288,amine benchaib KSC Lokeren,6960
289,dylan mbayo KSC Lokeren,6610
290,geoffrey bia KSC Lokeren,29900
291,djordje jovanovic KSC Lokeren,16400
292,jakub reznicek KSC Lokeren,5610
293,laurens symons KSC Lokeren,2550
294,davino verhulst KSC Lokeren,21900
295,jakov filipovic KSC Lokeren,6370
296,bambo diaby KSC Lokeren,5360
297,arno monsecour KSC Lokeren,8040
298,ari freyr skulason KSC Lokeren,9870
299,mario ticinovic KSC Lokeren,7910
300,stefano marzo KSC Lokeren,45500
301,killian overmeire KSC Lokeren,32400
302,mehdi terki KSC Lokeren,18200
303,jose francisco cevallos jr. KSC Lokeren,9400
304,steve de ridder KSC Lokeren,9900
305,bob straetman KSC Lokeren,14100
306,guus hupperts KSC Lokeren,17800
307,marko miric KSC Lokeren,13800
308,yusuf lawal KSC Lokeren,11800
309,robin soder KSC Lokeren,4840
310,anton saroka KSC Lokeren,6460
311,gil van moerzeke KSC Lokeren,32000
312,sebastien bruzzese KV Kortrijk,19700
313,gary kagelmacher KV Kortrijk,77700
314,lucas rougeaux KV Kortrijk,38400
315,kristof d'haene KV Kortrijk,31900
316,hannes van der bruggen KV Kortrijk,71600
317,elohim rolland KV Kortrijk,36300
318,larry azouni KV Kortrijk,20100
319,jovan stojanovic KV Kortrijk,64300
320,christophe lepoint KV Kortrijk,359000
321,idir ouali KV Kortrijk,13800
322,ilombe mboyo KV Kortrijk,21900
323,imoh ezekiel KV Kortrijk,41800
324,jarno de smet KV Kortrijk,22500
325,brendan hines-ike KV Kortrijk,14800
326,alioune camara KV Kortrijk,44000
327,andriy batsula KV Kortrijk,21900
328,petar golubovic KV Kortrijk,38400
329,julien de sart KV Kortrijk,35400
330,bennard kumordzi KV Kortrijk,28000
331,charilaos charisis KV Kortrijk,8770
