League,Club Name,Match Played,Match Won,Match Draw,Match Lose,Total Goals,Total Goals Conceded
Premier League,Manchester City,38,32,2,4,95,23
Premier League,Liverpool,38,30,7,1,89,22
Premier League,Chelsea,38,21,9,8,63,39
Premier League,Tottenham Hotspur,38,23,2,13,67,39
Premier League,Arsenal,38,21,7,10,73,51
Premier League,Manchester United,38,19,9,10,65,54
Premier League,Wolverhampton Wanderers,38,16,9,13,47,46
Premier League,Everton,38,15,9,14,54,46
Premier League,Leicester City,38,15,7,16,51,48
Premier League,West Ham United,38,15,7,16,52,55
Premier League,Watford,38,14,8,16,52,59
Premier League,Crystal Palace,38,14,7,17,51,53
Premier League,Newcastle United,38,12,9,17,42,48
Premier League,Bournemouth,38,13,6,19,56,70
Premier League,Burnley,38,11,7,20,45,68
Premier League,Southampton,38,9,12,17,45,65
Premier League,Brighton & Hove Albion,38,9,9,20,35,60
Premier League,Cardiff City,38,10,4,24,34,69
Premier League,Fulham,38,7,5,26,34,81
Premier League,Huddersfield Town,38,3,7,28,22,76
La Liga,Barcelona,38,26,9,3,90,36
La Liga,Atletico Madrid,38,22,10,6,55,29
La Liga,Real Madrid,38,21,5,12,63,46
La Liga,Valencia,38,15,16,7,51,35
La Liga,Getafe,38,15,14,9,48,35
La Liga,Sevilla,38,17,8,13,62,47
La Liga,Espanyol,38,14,11,13,48,50
La Liga,Athletic Bilbao,38,13,14,11,41,45
La Liga,Real Sociedad,38,13,11,14,45,46
La Liga,Real Betis,38,14,8,16,44,52
La Liga,Alaves,38,13,11,14,39,50
La Liga,Eibar,38,11,14,13,46,50
La Liga,Leganes,38,11,12,15,37,43
La Liga,Villarreal,38,10,14,14,49,52
La Liga,Levante,38,11,11,16,59,66
La Liga,Valladolid,38,10,11,17,32,51
La Liga,Celta Vigo,38,10,11,17,53,62
La Liga,Girona,38,9,10,19,37,53
La Liga,Huesca,38,7,12,19,43,65
La Liga,Rayo Vallecano,38,8,8,22,41,70
Serie A,Juventus,38,28,6,4,70,30
Serie A,Napoli,38,24,7,7,74,36
Serie A,Atalanta,38,20,9,9,77,46
Serie A,Inter Milan,38,20,9,9,57,33
Serie A,AC Milan,38,19,11,8,55,36
Serie A,AS Roma,38,18,12,8,66,48
Serie A,Torino,38,16,15,7,52,37
Serie A,Lazio,38,17,8,13,56,46
Serie A,Sampdoria,38,15,8,15,60,51
Serie A,Bologna,38,11,11,16,48,56
Serie A,Sassuolo,38,9,16,13,53,60
Serie A,Udinese,38,11,10,17,39,53
Serie A,SPAL,38,11,9,18,44,56
Serie A,Parma,38,10,11,17,41,61
Serie A,Cagliari,38,10,11,17,36,54
Serie A,Fiorentina,38,8,17,13,47,45
Serie A,Genoa,38,8,14,16,39,57
Serie A,Empoli,38,10,8,20,51,70
Serie A,Frosinone,38,5,10,23,29,69
Serie A,Chievo,38,2,14,22,25,75
Bundesliga,Bayern Munich,34,24,6,4,88,32
Bundesliga,Borussia Dortmund,34,23,7,4,81,44
Bundesliga,RB Leipzig,34,19,9,6,63,29
Bundesliga,Bayer Leverkusen,34,18,4,12,69,52
Bundesliga,Borussia Monchengladbach,34,16,7,11,55,42
Bundesliga,VfL Wolfsburg,34,16,7,11,62,50
