,Player Name,avgretweets,avglikes
0,ederson Manchester City,,
1,arijanet muric Manchester City,,
2,aymeric laporte Manchester City,,
3,nicolas otamendi Manchester City,,
4,vincent kompany Manchester City,,
5,benjamin mendy Manchester City,,
6,kyle walker Manchester City,,
7,fernandinho Manchester City,16.0,142.0
8,phil foden Manchester City,125.0,698.5
9,kevin de bruyne Manchester City,122.5,1832.0
10,raheem sterling Manchester City,50.33333333333334,458.0
11,bernardo silva Manchester City,28.0,268.5
12,gabriel jesus Manchester City,,
13,claudio bravo Manchester City,,
14,john stones Manchester City,7.666666666666668,34.0
15,philippe sandler Manchester City,,
16,oleksandr zinchenko Manchester City,,
17,danilo Manchester City,,
18,ilkay gundogan Manchester City,109.0,2029.0
19,fabian delph Manchester City,,
20,david silva Manchester City,73.5,894.5
21,leroy sane Manchester City,1825.0666666666666,12007.333333333336
22,riyad mahrez Manchester City,,
23,sergio aguero Manchester City,6.0,43.0
24,kepa Chelsea,120.85714285714286,1175.142857142857
25,andreas christensen Chelsea,31.0,371.0
26,david luiz Chelsea,20.0,280.0
27,gary cahill Chelsea,30.142857142857146,235.7142857142857
28,marcos alonso Chelsea,33.4,398.6
29,davide zappacosta Chelsea,,
30,tiemoue bakayoko Chelsea,64.0,793.0
31,n'golo kante Chelsea,45.6,598.6
32,ross barkley Chelsea,67.6,1008.3
33,cesc fabregas Chelsea,232.0,1691.5
34,eden hazard Chelsea,273.53846153846155,2141.6153846153848
35,callum hudson-odoi Chelsea,64.16666666666667,767.3333333333335
36,pedro Chelsea,16.0,160.0
37,gonzalo higuain Chelsea,,
38,tammy abraham Chelsea,63.93333333333333,947.6
39,willy caballero Chelsea,,
40,antonio rudiger Chelsea,40.25,348.5
41,ethan ampadu Chelsea,,
42,marc guehi Chelsea,,
43,emerson Chelsea,423.625,3223.625
44,cesar azpilicueta Chelsea,80.0,646.0
45,jorginho Chelsea,282.6666666666667,2124.6
46,mateo kovacic Chelsea,39.0,381.0
47,ruben loftus-cheek Chelsea,62.6,855.4
48,danny drinkwater Chelsea,,
49,victor moses Chelsea,,
50,willian Chelsea,138.71428571428572,1622.5
51,alvaro morata Chelsea,,
52,olivier giroud Chelsea,60.35714285714285,633.2857142857142
53,alisson Liverpool,289.5555555555556,2726.555555555556
54,loris karius Liverpool,,
55,virgil van dijk Liverpool,189.33333333333331,1224.3333333333333
56,joel matip Liverpool,72.16666666666667,1022.8333333333335
57,andrew robertson Liverpool,,
58,trent alexander-arnold Liverpool,139.4,1127.2
59,fabinho Liverpool,51.25,766.0
60,georginio wijnaldum Liverpool,27.0,228.0
61,alex oxlade-chamberlain Liverpool,614.0,5807.0
62,james milner Liverpool,59.6,594.8
63,adam lallana Liverpool,35.54545454545455,428.9090909090909
64,mohamed salah Liverpool,65.46153846153847,673.6153846153846
65,rafael camacho Liverpool,,
66,divock origi Liverpool,33.166666666666664,499.33333333333326
67,danny ings Liverpool,41.0,1060.0
68,simon mignolet Liverpool,,
69,joe gomez Liverpool,184.28571428571428,1849.571428571429
70,dejan lovren Liverpool,56.75,883.25
71,alberto moreno Liverpool,892.0,7429.0
72,naby keita Liverpool,30.5,310.6666666666667
73,jordan henderson Liverpool,69.25,596.1666666666666
74,curtis jones Liverpool,102.06666666666666,1183.8
75,sadio mane Liverpool,308.92857142857144,3060.785714285714
76,xherdan shaqiri Liverpool,,
77,roberto firmino Liverpool,365.25,3487.0
78,daniel sturridge Liverpool,,
79,david de gea Manchester United,29.75,232.75
80,victor lindelof Manchester United,,
81,phil jones Manchester United,126.0,1317.5
82,marcos rojo Manchester United,,
83,luke shaw Manchester United,,
84,matteo darmian Manchester United,,
85,antonio valencia Manchester United,159.0,3054.0
86,james garner Manchester United,59.0,369.0
87,fred Manchester United,28.0,674.0
88,marouane fellaini Manchester United,,
89,ashley young Manchester United,,
90,andreas pereira Manchester United,,
91,marcus rashford Manchester United,190.88888888888889,1346.7777777777776
92,jesse lingard Manchester United,26.0,154.0
93,romelu lukaku Manchester United,,
94,sergio romero Manchester United,,
95,lee grant Manchester United,,
96,eric bailly Manchester United,,
97,chris smalling Manchester United,,
98,diogo dalot Manchester United,,
99,nemanja matic Manchester United,596.3571428571429,6676.214285714284
100,samu garcia Levante,,
101,jose luis morales Levante,,
102,raphael dwamena Levante,,
103,andriy lunin Leganés,,
104,jon ander serantes Leganés,,
105,kenneth omeruo Leganés,,
106,diego reyes Leganés,,
107,ezequiel munoz Leganés,,
108,jonathan silva Leganés,,
109,raul garcia Leganés,,
110,juanfran Leganés,,
111,mikel vesga Leganés,,
112,recio Leganés,,
