,name,YoutubeAvgViewCount,YoutubeAvglikeCount,YoutubeAvgDislikeCount,YoutubeAvgCommentCount
0,ederson Manchester City,654291.2,7323.6,248.8,390.8
1,arijanet muric Manchester City,50563.2,590.4,24.4,44.8
2,aymeric laporte Manchester City,304278.0,5889.8,124.8,263.8
3,nicolas otamendi Manchester City,19652.2,876.2,21.6,114.0
4,vincent kompany Manchester City,1143107.6,18731.4,431.2,1361.0
5,benjamin mendy Manchester City,531787.2,10789.8,289.8,497.0
6,kyle walker Manchester City,692603.2,10709.2,263.4,576.4
7,fernandinho Manchester City,129310.6,3022.8,66.4,734.0
8,phil foden Manchester City,1183174.2,15100.2,275.4,635.0
9,kevin de bruyne Manchester City,2805845.0,43839.4,1523.2,1595.6
10,raheem sterling Manchester City,2996338.0,56977.2,1382.2,2186.0
11,bernardo silva Manchester City,1388685.8,26369.6,378.4,1521.8
12,gabriel jesus Manchester City,960476.6,12267.6,403.6,642.0
13,claudio bravo Manchester City,518951.8,9880.0,292.8,1245.0
14,john stones Manchester City,299146.4,3035.8,108.0,382.8
15,philippe sandler Manchester City,16605.0,488.0,6.8,46.2
16,oleksandr zinchenko Manchester City,194990.8,3217.6,152.0,256.0
17,danilo Manchester City,27139.4,721.8,11.4,38.6
18,ilkay gundogan Manchester City,217242.6,4946.6,138.0,509.2
19,fabian delph Manchester City,157983.6,3456.4,120.6,222.8
20,david silva Manchester City,936091.2,11456.2,567.6,958.6
21,leroy sane Manchester City,3805905.0,43572.2,1363.6,1531.0
22,riyad mahrez Manchester City,1082697.6,19375.4,505.8,1114.8
23,sergio aguero Manchester City,1990850.2,29589.0,998.8,1964.2
24,kepa Chelsea,4156136.6,35785.4,1139.4,4553.2
25,andreas christensen Chelsea,9742.6,168.4,3.0,25.8
26,david luiz Chelsea,415739.4,6072.8,142.0,465.2
27,gary cahill Chelsea,344478.8,5023.6,293.0,1039.0
28,marcos alonso Chelsea,124597.0,4253.2,49.6,183.6
29,davide zappacosta Chelsea,36995.6,808.0,10.8,46.2
30,tiemoue bakayoko Chelsea,42281.2,690.8,19.0,74.4
31,n'golo kante Chelsea,1634435.4,12704.6,650.4,809.6
32,ross barkley Chelsea,69184.4,1649.4,45.8,203.0
33,cesc fabregas Chelsea,187042.4,3152.6,72.0,197.6
34,eden hazard Chelsea,2973363.4,40906.6,2116.0,2339.4
35,callum hudson-odoi Chelsea,1131686.8,16937.2,306.0,1175.8
36,pedro Chelsea,802776.2,13711.8,350.6,812.4
37,gonzalo higuain Chelsea,273557.6,4216.6,131.0,392.0
38,tammy abraham Chelsea,65313.0,921.0,19.2,115.2
39,willy caballero Chelsea,503524.0,3994.8,293.6,441.2
40,antonio rudiger Chelsea,233070.8,4823.0,60.6,290.8
41,ethan ampadu Chelsea,355236.0,6369.4,125.2,257.8
